"AÑO","CODIGOAP","CODIGOPROGRAMA","CODIGOINCISO","CODIGOUNIDADEJECUTORA","ASIGNACION","EJECUCION","PFI","CODIGOTEMA","CODIGOSUBTEMA"
"2012","11","402","22","16","4991117","4991117","Funcionamiento","37","2001"
"2013","11","402","22","16","4222086","4222086","Funcionamiento","37","2001"
"2014","11","402","22","16","110740","110740","Funcionamiento","37","2001"
"2011","11","402","22","1","471290","471290","Funcionamiento","37","2001"
"2012","11","402","22","1","5410285","5410285","Funcionamiento","37","2001"
"2013","11","402","22","1","2531630","2531630","Funcionamiento","37","2001"
"2014","11","402","22","1","71588","71588","Funcionamiento","37","2001"
"2011","11","402","22","2","1832075","1832075","Funcionamiento","37","2001"
"2012","11","402","22","2","1546567","1546567","Funcionamiento","37","2001"
"2013","11","402","22","2","2615794","1403575","Funcionamiento","37","2001"
"2014","11","402","22","2","14711","14711","Funcionamiento","37","2001"
"2012","11","402","22","19","72174","72174","Funcionamiento","37","2001"
"2013","11","402","22","19","147591","147591","Funcionamiento","37","2001"
"2011","11","402","22","22","38518179430","38518179430","Funcionamiento","37","2001"
"2011","11","402","22","22","2690040000","2690040000","Funcionamiento","37","2002"
"2011","11","402","22","22","7175359604","7172306748","Funcionamiento","37","2003"
"2011","11","402","22","22","513434585","513434585","Funcionamiento","37","2004"
"2012","11","402","22","22","44674044232","44674044232","Funcionamiento","37","2001"
"2012","11","402","22","22","2294300000","2294300000","Funcionamiento","37","2002"
"2012","11","402","22","22","8616670796","8613617940","Funcionamiento","37","2003"
"2012","11","402","22","22","581792583","581792582","Funcionamiento","37","2004"
"2013","11","402","22","22","51132558252","51132558252","Funcionamiento","37","2001"
"2013","11","402","22","22","2588760000","2588760000","Funcionamiento","37","2002"
"2013","11","402","22","22","9945946885","9942894029","Funcionamiento","37","2003"
"2013","11","402","22","22","663817111","663817110","Funcionamiento","37","2004"
"2014","11","402","22","22","56124872808","56124872808","Funcionamiento","37","2001"
"2014","11","402","22","22","2889145950","2889145950","Funcionamiento","37","2002"
"2014","11","402","22","22","11395292609","11392239753","Funcionamiento","37","2003"
"2014","11","402","22","22","742971581","742971581","Funcionamiento","37","2004"
"2015","11","402","22","22","69145932986","69145932986","Funcionamiento","37","2001"
"2015","11","402","22","22","3244840000","3244840000","Funcionamiento","37","2002"
"2015","11","402","22","22","13076400284","13076167660","Funcionamiento","37","2003"
"2015","11","402","22","22","839786308","839786308","Funcionamiento","37","2004"
"2016","11","402","22","22","78250793769","78246200549","Funcionamiento","37","2001"
"2016","11","402","22","22","4703300000","4703300000","Funcionamiento","37","2002"
"2016","11","402","22","22","14803679634","14803679634","Funcionamiento","37","2003"
"2016","11","402","22","22","913263871","913261122","Funcionamiento","37","2004"
"2017","11","402","22","22","89565833276","89565833276","Funcionamiento","37","2001"
"2017","11","402","22","22","6392894341","6392894341","Funcionamiento","37","2002"
"2017","11","402","22","22","16846377387","16846377387","Funcionamiento","37","2003"
"2017","11","402","22","22","1018625842","1018337325","Funcionamiento","37","2004"
"2018","11","402","22","22","83264510659","0","Funcionamiento","37","2001"
"2018","11","402","22","22","6918474215","0","Funcionamiento","37","2002"
"2018","11","402","22","22","18665727921","0","Funcionamiento","37","2003"
"2018","11","402","22","22","1109662162","0","Funcionamiento","37","2004"
"2019","11","402","22","22","60074911954","0","Funcionamiento","37","2001"
"2019","11","402","22","22","6918474215","0","Funcionamiento","37","2002"
"2019","11","402","22","22","17820093853","0","Funcionamiento","37","2003"
"2019","11","402","22","22","949931068","0","Funcionamiento","37","2004"
"2011","11","402","22","17","392393","392393","Funcionamiento","37","2001"
"2012","11","402","22","17","394900","394900","Funcionamiento","37","2001"
"2013","11","402","22","17","420035","420035","Funcionamiento","37","2001"
"2011","11","402","22","26","5780929","5780929","Funcionamiento","37","2001"
"2012","11","402","22","26","6517026","6517026","Funcionamiento","37","2001"
"2013","11","402","22","26","6215872","6215872","Funcionamiento","37","2001"
"2011","8","2","25","2","1764157365","1753240865","Funcionamiento","8","2"
"2011","8","2","25","2","197055867","196506564","Inversión","8","2"
"2011","8","2","25","2","10309482141","10210499176","Personal","8","2"
"2011","8","340","25","2","12042490","10683653","Funcionamiento","8","340"
"2011","8","340","25","2","33613896","32707517","Personal","8","340"
"2012","8","2","25","2","1973776828","1968008405","Funcionamiento","8","2"
"2012","8","2","25","2","221247727","221201276","Inversión","8","2"
"2012","8","2","25","2","11775279405","11711241212","Personal","8","2"
"2012","8","340","25","2","42286319","42286319","Funcionamiento","8","340"
"2012","8","340","25","2","158471265","158471265","Personal","8","340"
"2013","8","2","25","2","2260313422","2256984866","Funcionamiento","8","2"
"2013","8","2","25","2","217371824","201603643","Inversión","8","2"
"2013","8","2","25","2","13677793902","13631747362","Personal","8","2"
"2013","8","340","25","2","82859240","82859240","Funcionamiento","8","340"
"2013","8","340","25","2","318483384","318483384","Personal","8","340"
"2014","8","2","25","2","2335331288","2323279436","Funcionamiento","8","2"
"2014","8","2","25","2","172954090","172899238","Inversión","8","2"
"2014","8","2","25","2","15681439505","15669259604","Personal","8","2"
"2014","8","340","25","2","110464897","110464897","Funcionamiento","8","340"
"2014","8","340","25","2","544191821","544191821","Personal","8","340"
"2015","8","2","25","2","2473681530","2471234008","Funcionamiento","8","2"
"2015","8","2","25","2","180427165","179273977","Inversión","8","2"
"2015","8","2","25","2","16843872627","16841141259","Personal","8","2"
"2015","8","340","25","2","108367523","108367523","Funcionamiento","8","340"
"2015","8","340","25","2","672257074","672257074","Personal","8","340"
"2016","8","2","25","2","3927931","3927931","Personal","8","2"
"2016","8","601","25","2","267227605","263217829","Funcionamiento","8","601"
"2016","8","601","25","2","1849462882","1838994053","Personal","8","601"
"2016","8","602","25","2","252705181","249147800","Funcionamiento","8","602"
"2016","8","602","25","2","1689122760","1687237135","Personal","8","602"
"2016","8","603","25","2","2535631556","2517918007","Funcionamiento","8","603"
"2016","8","603","25","2","16457097102","16432090761","Personal","8","603"
"2016","8","608","25","2","243974812","238255062","Inversión","8","608"
"2017","8","2","25","2","3577282","3577282","Personal","8","2"
"2017","8","601","25","2","283236512","280935391","Funcionamiento","8","601"
"2017","8","601","25","2","1903742862","1893577788","Personal","8","601"
"2017","8","602","25","2","295365967","288577336","Funcionamiento","8","602"
"2017","8","602","25","2","1960157117","1948779609","Personal","8","602"
"2017","8","603","25","2","2713255004","2699571546","Funcionamiento","8","603"
"2017","8","603","25","2","18402355842","18388788154","Personal","8","603"
"2017","8","608","25","2","229795553","228604459","Inversión","8","608"
"2018","8","2","25","2","2380442","0","Personal","8","2"
"2018","8","601","25","2","228321590","0","Funcionamiento","8","601"
"2018","8","601","25","2","2089472425","0","Personal","8","601"
"2018","8","602","25","2","291388015","0","Funcionamiento","8","602"
"2018","8","602","25","2","2253337211","0","Personal","8","602"
"2018","8","603","25","2","2731571138","0","Funcionamiento","8","603"
"2018","8","603","25","2","20430494543","0","Personal","8","603"
"2018","8","608","25","2","254769615","0","Inversión","8","608"
"2019","8","601","25","2","248013867","0","Funcionamiento","8","601"
"2019","8","601","25","2","2005206990","0","Personal","8","601"
"2019","8","602","25","2","224411186","0","Funcionamiento","8","602"
"2019","8","602","25","2","2201032026","0","Personal","8","602"
"2019","8","603","25","2","2007455127","0","Funcionamiento","8","603"
"2019","8","603","25","2","20090895062","0","Personal","8","603"
"2019","8","608","25","2","225291464","0","Inversión","8","608"
"2011","8","3","25","3","458165659","452497212","Funcionamiento","8","3"
"2011","8","3","25","3","111403217","106388952","Inversión","8","3"
"2011","8","3","25","3","7410327107","7336059453","Personal","8","3"
"2011","8","340","25","3","6604000","5695187","Funcionamiento","8","340"
"2011","8","340","25","3","69425134","68218194","Personal","8","340"
"2012","8","3","25","3","511675544","508793456","Funcionamiento","8","3"
"2012","8","3","25","3","77517718","74994729","Inversión","8","3"
"2012","8","3","25","3","8253229465","8209203189","Personal","8","3"
"2012","8","340","25","3","8845083","8844966","Funcionamiento","8","340"
"2012","8","340","25","3","203659894","202341422","Personal","8","340"
"2013","8","3","25","3","589869830","588780346","Funcionamiento","8","3"
"2013","8","3","25","3","64781809","64618743","Inversión","8","3"
"2013","8","3","25","3","9349727943","9293000790","Personal","8","3"
"2013","8","340","25","3","11074782","11074767","Funcionamiento","8","340"
"2013","8","340","25","3","339931010","339902234","Personal","8","340"
"2014","8","3","25","3","637723147","636795529","Funcionamiento","8","3"
"2014","8","3","25","3","69330152","69303592","Inversión","8","3"
"2014","8","3","25","3","10800916870","10767278944","Personal","8","3"
"2014","8","340","25","3","10949771","10949771","Funcionamiento","8","340"
"2014","8","340","25","3","501599155","501599155","Personal","8","340"
"2015","8","3","25","3","636570185","635175204","Funcionamiento","8","3"
"2015","8","3","25","3","68562453","68203183","Inversión","8","3"
"2015","8","3","25","3","11638101385","11614425774","Personal","8","3"
"2015","8","340","25","3","12586997","12586997","Funcionamiento","8","340"
"2015","8","340","25","3","636715645","636715645","Personal","8","340"
"2016","8","601","25","3","107550279","106307181","Funcionamiento","8","601"
"2016","8","601","25","3","924019397","892829260","Personal","8","601"
"2016","8","604","25","3","438171853","437163850","Funcionamiento","8","604"
"2016","8","604","25","3","8103001803","8095292146","Personal","8","604"
"2016","8","605","25","3","219141629","218558896","Funcionamiento","8","605"
"2016","8","605","25","3","5364863161","5355284592","Personal","8","605"
"2016","8","608","25","3","77143478","76501358","Inversión","8","608"
"2017","8","601","25","3","109572260","109264737","Funcionamiento","8","601"
"2017","8","601","25","3","895160419","871770875","Personal","8","601"
"2017","8","604","25","3","493428086","492660618","Funcionamiento","8","604"
"2017","8","604","25","3","9983032299","9962496855","Personal","8","604"
"2017","8","605","25","3","233033802","232936167","Funcionamiento","8","605"
"2017","8","605","25","3","5450539279","5450533743","Personal","8","605"
"2017","8","608","25","3","81512882","81030321","Inversión","8","608"
"2018","8","601","25","3","108406922","0","Funcionamiento","8","601"
"2018","8","601","25","3","643129678","0","Personal","8","601"
"2018","8","604","25","3","498390765","0","Funcionamiento","8","604"
"2018","8","604","25","3","12573821422","0","Personal","8","604"
"2018","8","605","25","3","247853650","0","Funcionamiento","8","605"
"2018","8","605","25","3","4847275796","0","Personal","8","605"
"2018","8","608","25","3","76114478","0","Inversión","8","608"
"2019","8","601","25","3","119301179","0","Funcionamiento","8","601"
"2019","8","601","25","3","552428784","0","Personal","8","601"
"2019","8","604","25","3","443203157","0","Funcionamiento","8","604"
"2019","8","604","25","3","12228793075","0","Personal","8","604"
"2019","8","605","25","3","258279785","0","Funcionamiento","8","605"
"2019","8","605","25","3","4713517004","0","Personal","8","605"
"2019","8","608","25","3","80002478","0","Inversión","8","608"
"2011","8","5","25","5","98586829","96235203","Funcionamiento","8","5"
"2011","8","5","25","5","44926287","41551470","Inversión","8","5"
"2011","8","5","25","5","1041853774","1002834151","Personal","8","5"
"2012","8","5","25","5","112918737","111971469","Funcionamiento","8","5"
"2012","8","5","25","5","33545124","32935780","Inversión","8","5"
"2012","8","5","25","5","1222556154","1186756596","Personal","8","5"
"2013","8","5","25","5","123806217","121434698","Funcionamiento","8","5"
"2013","8","5","25","5","12189872","12065770","Inversión","8","5"
"2013","8","5","25","5","1401195777","1375085432","Personal","8","5"
"2014","8","5","25","5","135971334","135347504","Funcionamiento","8","5"
"2014","8","5","25","5","23086471","22561506","Inversión","8","5"
"2014","8","5","25","5","1622737328","1604533176","Personal","8","5"
"2015","8","5","25","5","147015456","146114452","Funcionamiento","8","5"
"2015","8","5","25","5","26307510","26070698","Inversión","8","5"
"2015","8","5","25","5","1855294261","1828488204","Personal","8","5"
"2016","8","5","25","5","52915","52915","Personal","8","5"
"2016","8","601","25","5","28680764","28384523","Funcionamiento","8","601"
"2016","8","601","25","5","166663383","154383641","Personal","8","601"
"2016","8","607","25","5","175838859","175673996","Funcionamiento","8","607"
"2016","8","607","25","5","1993644028","1993310830","Personal","8","607"
"2016","8","608","25","5","27211546","25079642","Inversión","8","608"
"2017","8","601","25","5","16565306","15453620","Funcionamiento","8","601"
"2017","8","601","25","5","197487484","190679860","Personal","8","601"
"2017","8","607","25","5","204438504","203047576","Funcionamiento","8","607"
"2017","8","607","25","5","2296559552","2291232603","Personal","8","607"
"2017","8","608","25","5","19375918","17291211","Inversión","8","608"
"2018","8","601","25","5","17657807","0","Funcionamiento","8","601"
"2018","8","601","25","5","227493186","0","Personal","8","601"
"2018","8","607","25","5","211266639","0","Funcionamiento","8","607"
"2018","8","607","25","5","2606864637","0","Personal","8","607"
"2018","8","608","25","5","15377213","0","Inversión","8","608"
"2019","8","601","25","5","23816934","0","Funcionamiento","8","601"
"2019","8","601","25","5","168162204","0","Personal","8","601"
"2019","8","607","25","5","278209809","0","Funcionamiento","8","607"
"2019","8","607","25","5","2474079707","0","Personal","8","607"
"2019","8","608","25","5","10675399","0","Inversión","8","608"
"2011","8","1","25","1","249614031","232559331","Funcionamiento","8","1"
"2011","8","1","25","1","2521967062","2513223193","Inversión","8","1"
"2011","8","1","25","1","1246990463","531528514","Personal","8","1"
"2012","8","1","25","1","305096995","298891170","Funcionamiento","8","1"
"2012","8","1","25","1","2465292469","2456545709","Inversión","8","1"
"2012","8","1","25","1","1511451682","674914903","Personal","8","1"
"2012","8","340","25","1","80249","0","Personal","8","340"
"2013","8","1","25","1","351438256","345333818","Funcionamiento","8","1"
"2013","8","1","25","1","2796980729","2758701510","Inversión","8","1"
"2013","8","1","25","1","1418592086","785266387","Personal","8","1"
"2013","8","340","25","1","2","0","Personal","8","340"
"2014","8","1","25","1","417079364","411593527","Funcionamiento","8","1"
"2014","8","1","25","1","2304818612","2301411138","Inversión","8","1"
"2014","8","1","25","1","1219728741","914075790","Personal","8","1"
"2014","8","340","25","1","7064338","4856111","Personal","8","340"
"2015","8","1","25","1","531174429","518862579","Funcionamiento","8","1"
"2015","8","1","25","1","2063993436","2058917178","Inversión","8","1"
"2015","8","1","25","1","1550866717","964076101","Personal","8","1"
"2015","8","340","25","1","319319","0","Personal","8","340"
"2016","8","601","25","1","528373450","519270408","Funcionamiento","8","601"
"2016","8","601","25","1","1720558981","1001313808","Personal","8","601"
"2016","8","608","25","1","2164642557","2124136715","Inversión","8","608"
"2017","8","601","25","1","578824947","571429209","Funcionamiento","8","601"
"2017","8","601","25","1","1657754013","1129943529","Personal","8","601"
"2017","8","608","25","1","2288300833","2257513839","Inversión","8","608"
"2018","8","601","25","1","574027099","0","Funcionamiento","8","601"
"2018","8","601","25","1","1976555595","0","Personal","8","601"
"2018","8","608","25","1","2509915872","0","Inversión","8","608"
"2019","8","601","25","1","518777045","0","Funcionamiento","8","601"
"2019","8","601","25","1","5180155716","0","Personal","8","601"
"2019","8","608","25","1","2171910253","0","Inversión","8","608"
"2011","8","4","25","4","296182651","276518506","Funcionamiento","8","4"
"2011","8","4","25","4","110796000","83985210","Inversión","8","4"
"2011","8","4","25","4","2998576831","2940192932","Personal","8","4"
"2011","8","340","25","4","10397000","10397000","Funcionamiento","8","340"
"2011","8","340","25","4","70212319","69982817","Personal","8","340"
"2012","8","4","25","4","327577444","318947501","Funcionamiento","8","4"
"2012","8","4","25","4","90088406","85858615","Inversión","8","4"
"2012","8","4","25","4","3767704641","3592797165","Personal","8","4"
"2012","8","340","25","4","22347586","22347586","Funcionamiento","8","340"
"2012","8","340","25","4","134536801","134526798","Personal","8","340"
"2013","8","4","25","4","380502521","370985715","Funcionamiento","8","4"
